id,firstName,lastName,address,city,state,zip,phone,sex,birthDate,stat,mood,charge
13,Bentzion,Toppas,P.O. Box 914,Spring Hope,NC,27882,919-517-0996,0,1965-12-19,91.87855082270136,unwise,EXCEED 65 MPH FOR ALL VEHICLES BY 53 MPH
14,Shandrell,Upham,4028 Pear St.,Wyandanch,NY,11798,518-407-9842,1,1980-11-29,94.47855564022755,expectant,LESS THAN THREE PORTABLE WARN DEVICES
15,Javonda,Dubbin,8778 Redwood Ln,Garden City,MO,64747,417-764-2206,1,1996-01-27,63.22715737743663,forthright,UNLAWFUL CONTACT WITH MINOR SEXUAL OFFENSES
16,Jeovanny,Iskowitz,9563 Tulip Tree Blvd.,Wauseon,OH,43567,937-672-3702,0,1980-04-20,61.12109333071989,whimsical,DISORDERLY CONDUCT MAKES UNREASONABLE NOISE
17,Stoney,Wallwood,8811 Pear St.,Fresno,CA,93778,909-450-7497,0,1996-02-25,99.92737890708814,vengeful,AGGRAVATED ASSAULT OF AN UNBORN CHILD
18,Aletha,Garioch,9679 Palm Ave,West Milford,NJ,07480,848-810-9201,1,1969-10-28,63.30796459813804,committed,LITTERING NEAR WATERS
19,Ruthie,Masters,8256 Chestnut Street,Le Roy,MN,55951,507-121-6752,1,1962-04-28,49.94106864628711,high,EXCEED 25 MPH RESIDENCE DIST BY 43 MPH
20,Vincent,Egre,4906 Plum Rd,Greenacres,WA,99016,360-303-2582,0,1997-06-14,82.28716091093176,inclusive,SOLICITATION OF MINORS TO TRAFFIC DRUGS
21,Josearmando,Silverman,2497 Olive Avenue,Dry Ridge,KY,41035,859-950-4203,0,1968-08-19,40.02066507906343,disturbed,CONGREGATE LOITERING ON PARK PREMISES
22,Carleton,Shelp,5842 Willow Ln.,Charleston,WV,25314,681-474-4385,0,1953-04-14,88.72768336026925,secure,TERRORISTIC THREATS
23,Roselynn,Greengrass,1280 Birch Ave,Sheffield,AL,35660,334-836-0932,1,1986-09-29,32.5055181246971,choleric,CITY PARK CLOSING HOURS
24,Jimi,Axleby,5498 Pear St.,Morgan City,MS,38946,662-000-4035,0,1979-08-28,81.68826511269245,clueless,THEFT OF LEASED PROPERTY
25,Randa,Flaxon,4561 Chestnut Court,Sarasota,FL,34236,850-908-0415,1,1962-10-14,14.318739452353999,important,RAPE FORCIBLE COMPULSION
26,Karri,Raubheim,92 Sumac Blvd.,Galway,NY,12074,934-214-8814,1,1951-05-30,24.17548580130653,skeptical,SIGNALS PLACES OTHER THAN INTERSECTION
27,Author,Woodcock,5285 Sassafras Boulevard,Norfolk,VA,23517,703-408-2649,0,1954-04-02,33.46677961174504,forgotten,INTERSECTIONS CONTROLLED BY SIGNS
28,Rodman,Burnsall,762 Tulip Tree Road,Nelson,VA,24580,703-559-2477,0,1984-03-05,76.86636132747667,incensed,EXCEED 65 MPH FOR ALL VEHICLES BY 65 MPH
29,Richad,Levis,9183 Hickory Ln.,Bonney Lake,WA,98391,360-201-5115,0,1961-07-08,38.84676175534153,strong,BUYING EXCHANGING FEDERAL FOOD STAMPS
30,Sopheak,Stonestreet,7661 Linden Ct.,Rosholt,SD,57260,605-064-6678,0,1958-09-08,69.47593602066138,wild,PERSONAL CONDUCT ALCOHOLIC BEVERAGES AND DRUGS
31,Caleigh,de Glanville,7459 Yellowwood Rd,American Fork,UT,84003,435-900-4429,1,1987-03-06,28.2401043395991,revengeful,KIDNAP TO INFLICT INJ TERROR
32,Jeoffrey,Dowrey,4608 Peach Rd.,Temecula,CA,92590,805-788-9309,0,1964-04-24,74.52670953224163,blank,OPERATE HEAD LAMPS DURING HOURS OF DARKNESS
33,Rafiq,Iacovozzo,3217 Cherry Road,Bowie,MD,20716,301-289-9214,0,1976-04-19,26.23426158680178,panicky,DR UN THE INF OF ALCO 3RD OFF
34,Raleigh,Sturm,1902 Dogwood Court,Sterling City,TX,76951,346-226-9763,0,1966-03-17,48.42823401647862,nostalgic,SYNTHETIC CANNABIS OR OTHER SYNTHETIC DRUGS ORD
35,Coreena,Brundell,1382 Willow Ct,Middle Village,NY,11379,631-006-6826,1,1952-09-01,92.94727181763528,weary,DISCHARGE OF FIREARMS IN THE CITY
36,Jilian,Saiz,2018 Elm Road,Ogden,KS,66517,620-427-1123,1,1963-07-27,86.90220491157459,fearless,SOLICITATION
37,Mong,Fido,2872 Tulip Tree Ct.,Greensboro,NC,27417,252-628-4675,0,1979-01-09,54.06105205519741,scorned,ALCOHOLIC BEVERAGES PROHIBITED IN MOTOR VEHICLES
38,Jennfier,Coopman,5792 Juniper Ave.,Carol Stream,IL,60116,217-249-8994,1,1967-03-08,50.63517704903229,passionate,THIRD DEGREE MURDER OF UNBORN CHILD
39,Nanci,Sibbons,3083 Sassafras Lane,Norton,TX,76865,830-504-8079,1,1952-07-25,87.81583598548485,stubborn,CRIM L MISCH TAMPER W PROPERTY
40,Lucesita,Clemot,P.O. Box 900,Fort Wayne,IN,46897,219-225-0164,1,1951-08-29,23.02004787194691,futile,DEFINED AND PROHIBITED
41,Anjelique,Cuthbert,8502 Redwood Road,Decatur,IL,62524,309-615-2702,1,1989-08-04,41.35001911855784,lonely,INDECENT ASSAULT PERSON SUBSTANTIALLY IMPAIRED
42,Jerika,Doorbar,2614 Palm Road,Antelope,MT,59211,406-941-1438,1,1971-08-13,74.25925756651353,open,FAILURE TO EXHIBIT CERTIFICATE
43,Letta,Duffin,4335 Spruce Court,Miami,FL,33193,321-571-3811,1,1986-12-07,59.1823252789763,irrational,OPEN CONTAINER PRIMA FACIE EVIDENCE OF CONSUMPTION
44,Romi,Whysall,5023 Sumac Blvd.,Edgewater,MD,21037,667-602-0538,1,1986-08-31,61.04059586619719,mad,DEC BUS PRACT ADULTERATED GOODS
45,Nazareth,Wait,6314 Hawthorn Blvd,Abrams,WI,54101,262-012-3348,1,1967-03-29,86.60080484035184,jovial,SIGNAL LIGHTS
46,Felice,Olliff,7806 Apple Rd.,Thomaston,CT,06787,203-193-2443,1,1959-12-25,31.750327028172965,pestered,PROCURE LICENSE WITH INCORRECT NAME
47,Trenia,Maris,P.O. Box 6766,Walnut,CA,91789,442-904-9994,1,1954-02-20,90.81291581158354,zealous,FORGERY ALTER WRITING
48,Feige,Grahamslaw,143 Larch Road,Lansing,IA,52151,319-584-8708,1,1974-09-02,82.01853609714001,vengeful,THREATEN UNLAWFUL HARM TO INFLUENCE
49,Jamy,Assiratti,5345 Spruce Ave,Atlanta,GA,30354,912-057-9015,1,1992-05-23,37.89275576422301,quiet,ENDAGERING WELFARE OF CHILDREN WHERE THERE IS A COURSE OF CONDUCT
50,Tymel,Truder,4610 Magnolia Avenue,Huntsville,AL,35824,334-772-3612,0,1974-10-23,58.907672164364065,united,DRVG UND INF ALCO CTRL SUB 4TH OFF
51,Jefferey,Berns,P.O. Box 9859,Gypsy,WV,26361,304-063-5366,0,1996-10-15,77.87230776031741,thoughtful,STRIPPING ABANDONED VEHICLE
52,Arben,Ouver,6884 Redwood Ave.,Chatawa,MS,39632,769-673-8463,0,1994-12-23,53.08324507894276,used,PERSON IN TOWED VEHICLE
53,Carly,Corp,8829 Olive Avenue,White Pigeon,MI,49099,989-015-8287,1,1960-01-10,15.995750048199875,tested,SEXUAL ABUSE OF CHILDREN DISSEMINATION OF PHOTO FILM OF CHILD SEX ACTS
54,Pam,Fanner,7038 Oak Ct.,Darlington,SC,29532,854-425-7000,1,1973-11-15,42.735578708860956,burned-out,ASSIGNING BLANK CERT
55,Tonya,Fasham,65 Magnolia Avenue,Center Hill,FL,33514,863-648-3863,1,1985-03-20,15.499107106633097,tough,NO SIGNAL LAMPS
56,Arcelia,Paddie,7986 Willow Blvd,Qulin,MO,63961,314-825-1522,1,1992-02-22,11.518691969856407,inattentive,BURGLARY
57,Terre,Allcott,2563 Hickory Ln,Good Hart,MI,49737,517-917-2832,1,1966-12-30,51.25144448572324,ribald,TRANSPORTS SELLS TRANSFERS PURCHASES ETC ILLEGALLY OBTAINED FROM CHOP
58,Anastasi,Mitchelmore,1007 Redwood St,Langston,OK,73050,580-620-1087,1,1950-03-20,58.924018266453544,intrigued,VEH IDENT ENCUMB
59,Patryk,Crews,6622 Poplar St,Sterrett,AL,35147,938-939-0834,0,1981-02-13,26.882952598392393,serious,OPERATING WATERCRAFT UNDER COMBINATION OF ALCOHOL AND DRUG OR DIFFERENT DR
60,Nonnie,Truin,4339 Pine Ave,Washington,DC,20068,202-467-0648,1,1960-09-27,76.22452770655276,odd,PA SEC ACT REG REQS
61,Lavonne,Nuscha,9847 Plum Boulevard,Green Bay,WI,54301,262-820-3675,1,1955-12-25,70.56680056319519,self-conscious,DEF TRES POSTED
62,Siara,Ravenhills,6951 Poplar Boulevard,Townville,PA,16360,717-846-7606,1,1957-02-26,90.19090708708997,tortured,AIR RIFLES PELLET GUNS PROHIBITTED
63,Sheva,Olenov,6548 Apple Lane,San Mateo,FL,32187,786-774-8980,1,1979-10-16,10.370651659864297,forgiven,PARK RULES HOURS
64,Penney,Fache,2267 Yellowwood Avenue,Magnolia,KY,42757,859-002-4126,1,1954-06-07,88.31233408497181,comfortable,ENDANGERING WELFARE OF CHILDREN PREVENT INTERFERE WITH MAKING REPORT
65,Jasamine,Ainscough,9676 Hickory Ct.,Louisville,AL,36048,334-566-6596,1,1971-05-18,45.99290637635906,handicapped,USE OF FIREARMS RESTRICTED
66,Lili,Riccione,P.O. Box 2995,Sioux Falls,SD,57109,605-073-7514,1,1956-08-20,57.99995019049215,quizzical,MINIMUM FLOODPROOFING STANDARDS BSMTS LOW FLOORS
67,Orasio,Kaesmans,5015 Cypress Ct.,Dale,TX,78616,281-448-8072,0,1989-04-12,41.38364818321688,self-destructive,OPER VEH W O REQ D FINANC RESP
68,Alyxandra,Casterou,P.O. Box 3231,Hutsonville,IL,62433,312-653-4655,1,1979-08-13,89.944807485441,treasured,MANUF ETC CONTROLLED SUBSTANCE
69,Roshana,Letford,8202 Peach Way,Durham,MO,63438,636-557-1315,1,1982-07-18,58.88809899842369,doubtful,VIOL SIZE WEIGHT LIMITS
70,Tashika,Samworth,7129 Redwood Lane,Van Nuys,CA,91482,323-889-9181,1,1961-05-27,84.15182855492797,furious,DISCHARGE OF DEADLY WEAPONS PROHIBITED
71,Maricella,Goold,8158 Fir Road,Boyes Hot Springs,CA,95416,951-482-5202,1,1962-05-24,91.84450639939953,content,HOURS PARK RECREATION AREAS
72,Devonne,Oattes,6603 Tupelo St.,Kilmichael,MS,39747,601-933-6248,1,1952-07-28,12.799500769847361,insensitive,CORRUPT ORGANIZATIONS
73,Taylin,Purveys,4613 Maple Ct.,Grand Rapids,MI,49544,616-694-1658,1,1976-10-28,50.392763722300955,framed,SIGNAL IMPROP LEFT TURN
74,Kensey,Stanway,9770 Maple Street,Longmeadow,MA,01116,413-685-3302,1,1959-02-03,99.97244997484992,hurt,RECORDS OF TRANSACTIONS DEALERS
75,Derika,Witheford,9027 Cypress Ct,Boise,ID,83799,986-530-9373,1,1978-10-06,40.3119410607356,handicapped,EXCEED 35 MPH IN URBAN DIST BY 17 MPH
76,Maalik,Sandells,6886 Gum Court,Anderson,IN,46018,260-647-5526,0,1984-11-13,10.460685307882247,kidded,ILLE OPER MOVE TRANS VEH EXC ITS LIMIT
77,Shaquel,Klageman,3019 Sumac Blvd.,Morovis,PR,00687,939-425-0294,0,1976-10-30,71.01688655572164,warm,DISTRIBUTING HANDBILLS AND SAMPLES RESTRICTIONS
78,Shaylene,Aspey,7909 Oak Rd.,Mount Carroll,IL,61053,630-900-1579,1,1962-02-06,65.61683805753502,nightmarish,VIOLATION OF POSTING HIGH DRUG ACTIVITY AREA
79,Caroline,Jowers,5295 Hickory Ave.,Indianapolis,IN,46219,812-917-1469,1,1956-06-22,82.02879750368614,lyrical,POSS OF UNSTAMPED CIG
80,Ginnie,Danzig,340 Peach Boulevard,Shawmut,ME,04975,207-594-8570,1,1994-11-11,59.326933362696145,informed,OBSTRUCTION OF PEDESTRIAN TRAFFIC
81,Edilberto,Muzzullo,8374 Locust Blvd.,Washington,DC,20578,202-808-0012,0,1973-09-02,54.2399425271332,faithful,VIOLATION OF THE OPEN CONTAINER ORDINANCE
82,Addam,Rymer,4417 Peach St,New Auburn,WI,54757,414-346-7467,0,1975-07-21,61.1762728474432,dependent,CARRYING OF KNIVES
83,Darris,Maciejewski,2108 Oak Circle,Malone,WA,98559,509-348-5210,0,1975-12-26,89.06002906679232,conventional,VUFA
84,Aminata,Pirie,P.O. Box 9925,Haddon Heights,NJ,08035,848-820-6324,1,1987-09-19,18.60309440581833,ignored,PERMITTING VIOLATION HOMIC BY VEH WHILE DR UNDER THE INFLUENCE
85,Jovanni,Leeburne,9889 Fir Blvd.,Alexandria,VA,22314,571-524-9503,0,1968-12-04,94.79742209751969,awake,SCALES AND WEIGHING DEVICES
86,Jennyfer,Di Carli,1463 Ash Ln,Lehigh Acres,FL,33972,321-022-3971,1,1978-06-15,33.857884932213565,energized,TWP ORDINANCE BB GUN
87,Kalvin,Mertel,943 Yellowwood Ln.,Terre Haute,IN,47809,463-640-0924,0,1994-10-24,42.02150284630396,obeyed,CURFEW FOR MINORS
88,Diamond,Philipps,3210 Poplar St,Greenville,WV,24945,681-624-8513,1,1991-01-15,45.883699745601035,unfriendly,POSSESS FIREARM OTHER WEAPON W INT
89,Katharyn,Reeken,7402 Palm Blvd,Tupman,CA,93276,747-669-6607,1,1956-09-27,63.58336107695343,accused,OBTAIN ATTEMPT TO OBTAIN TELECOMM DEVICE SERVICE
90,Paraskevi,Livsey,9148 Larch Blvd,Springfield,VA,22150,571-608-9532,1,1997-03-13,46.336137473379786,elated,VEHICLE OPERATION TO AVOID I D INSPECTION
91,Jacki,Ostick,9978 Elm Street,Sylvester,TX,79560,682-626-7680,1,1965-10-23,88.57049628324725,serene,PEDDLING AND SOLICITING
92,Deshawna,Bauchop,551 Locust St.,Peculiar,MO,64078,816-518-7895,1,1987-10-04,64.24345318011845,faithful,EXCEED MAX SPEED LIM ESTB BY 32 MPH
93,Annalee,Simanek,P.O. Box 3368,Orange,NJ,07051,609-445-7280,1,1988-07-04,65.97054733816493,amused,CONSUMPTION POSSESSION OF OPEN CONTAINERS
94,Desiree,Lathleiffure,9736 Cherry Boulevard,Reno,NV,89520,702-945-8322,1,1989-09-12,49.78473188943448,trusted,OPERATING A METHAMPHETAMINE LAB
95,Yui,De Ruggiero,9930 Alder Road,Commerce,OK,74339,918-013-0866,1,1953-01-19,49.83552712603364,thrifty,FORGE OR COUNTERFEIT STAMPS OR LABELS
96,Faatimah,Gerrard,331 Sumac Blvd.,Tuscarora,PA,17982,215-397-9293,1,1980-02-11,45.08540527233374,competitive,PARKS RECREATIONAL FAC VIOLATION
97,Philomena,Wanell,7260 Chestnut Ln,Fromberg,MT,59029,406-038-4397,1,1981-12-24,64.39598575219478,vivid,DUI HIGH RTE OF ALC BAC 10 16 3RD OFF
98,Delfin,Start,4222 Ash Blvd.,San Jose,CA,95159,626-034-6174,0,1952-07-16,79.29879346612262,apologetic,PROHIBITED OFFENSIVE WEAPONS
99,Louvenia,Stripp,8494 Cypress Ave.,Harrisburg,NC,28075,980-485-0814,1,1976-05-02,74.4951786768767,happy,GENERAL SPECIAL RULES AND REGULATIONS
100,Brody,Taynton,5262 Tulip Tree St,Farmington,NM,87499,575-779-3228,0,1982-06-08,84.16534209890334,bothered,DISARMING LAW ENFORCEMENT OFFICER REASONABLE CAUSE
101,Juliana,Como,3619 Locust Circle,Monticello,MN,55582,507-093-1842,1,1985-10-07,36.00509257942777,outraged,RECKLESS BURNING OR EXPLODING PLACES PROPERTY HAVING VALUE THAT EXCEEDS
102,Yovany,Mattiessen,9567 Pine Ave.,Argyle,MN,56713,612-463-8405,0,1957-12-27,16.335937438998233,rambunctious,RAPE OF A CHILD W SERIOUS BODILY INJURY
103,Niambi,Shenton,5607 Apple Court,Weston,GA,31832,470-616-4777,1,1975-03-07,76.85534460742433,painful,USING FALSE NAME ADDRESS ON APPLICATION CERT TITLE
104,Fitzroy,Ludmann,1046 Ash Ave.,Jenners,PA,15546,878-264-2470,0,1956-02-11,93.68099352048708,judged,FAIL TO SURRENDER LIC
105,Starla,Bolan,6278 Cherry Ave,Hilliard,OH,43026,567-833-4790,1,1985-11-13,74.68961474400643,right,KENNEL CLASS C ENCLOSURE FLOOR MUST BE STRONG
106,Kristofe,Haisell,9269 Pine Street,Brighton,MO,65617,660-056-0931,0,1959-08-22,81.93466472148174,mischievous,LITTERING NEAR WATERS
107,Tia,De Antoni,11 Yellowwood Blvd.,Panola,AL,35477,205-920-1071,1,1963-09-07,64.46932807184646,stumped,ARSON DANGER OF DEATH OR BODILY INJ
108,Keisuke,Siley,6710 Beech Road,Lake Elsinore,CA,92532,760-716-6560,0,1957-10-31,83.59649145802945,feisty,HAVE IMPROPER HORN
109,Taina,Tebb,6654 Beech Blvd.,Valley Forge,PA,19494,717-120-7644,1,1951-06-02,60.67501237123338,defiant,UNLAWFUL DEVICE MAKING EQUIPMENT POSSESSION
110,Marcio,Orniz,8711 Pear Rd,Hydesville,CA,95547,310-351-6344,0,1962-03-06,31.407406584898684,kidded,EXCEED MAX SPEED LIM ESTB BY 44 MPH
111,Estefany,Fedorski,1382 Walnut Way,Etoile,TX,75944,254-651-4287,1,1951-08-07,44.33388121097903,attacked,OBSTRUCTIONS AND NUISANCES
112,Darrious,Aglione,8707 Crabapple St.,Felton,DE,19943,302-061-1197,0,1997-09-14,15.623333381122935,alive,FAIL KEEP DOG CONF CONT PROPERLY
113,Tamer,Stoite,2347 Walnut Blvd,Front Royal,VA,22630,804-554-8495,0,1968-04-09,15.419840650318646,talented,DR W BL ALC LEV 10 OR GREATER 3RD OFF
114,Mariame,Kennham,1634 Gum Blvd,Lafayette,LA,70504,318-532-7648,1,1952-05-21,24.436582177578504,overcome,CARELESS DRIVING ON PRIVATE PROPERTY
115,Undray,Hawkey,240 Ash Ln.,Farmerville,LA,71241,337-761-3991,0,1958-12-21,57.07184309675235,important,LOITER PROWL IN PUBLIC W INTENT CONTROLLED SUBST
116,Cherlyn,Neads,4829 Beech Avenue,Williams,OR,97544,503-120-7101,1,1984-08-25,11.076338221280247,ignorant,MAKING FALSE AMBULANCE REQUESTS
117,Laconda,Capner,P.O. Box 9918,Corinne,UT,84307,385-004-7061,1,1971-09-18,25.099428556198454,unpleasant,PARK HOURS
118,Eriko,Bridgewood,6723 Redwood Blvd.,Bethel,NY,12720,212-651-3563,1,1953-09-11,75.30317302597004,relaxed,REMOVAL OF DEPOSITED MATERIAL
119,Elide,Eschelle,6122 Tulip Tree Ln.,Varney,KY,41571,859-788-5994,1,1976-08-31,40.71302369837322,aware,LEND DR LIC ANOTHER PERSON
120,Benjamine,Searson,204 Larch Circle,Rushsylvania,OH,43347,216-302-5652,0,1994-09-24,15.31834180558943,thankful,CURFEW
121,Eugina,Largan,8425 Crabapple Circle,Burgin,KY,40310,502-621-6296,1,1986-10-02,63.45243244824006,intimidated,EXCEED 35 MPH IN URBAN DIST BY 53 MPH
122,Sequoia,Meddemmen,4067 Birch Blvd,Columbus,OH,43220,330-005-4743,1,1991-06-16,96.38530913171029,blah,DISORDERLY CONDUCT TOWARDS LAW ENFORCEMENT OFFICER
123,Reece,Grigaut,2045 Spruce Blvd,New York,NY,10055,631-188-3648,0,1984-04-14,85.04064087554514,concerned,INTERFER CUSTODY COMMITTED PERSON
124,Leasa,Jordanson,5981 Elderberry Street,Charlotte,NC,28242,919-270-5486,1,1983-03-23,75.94778846826449,vague,CURFEW
125,Rida,Lempertz,9715 Olive Street,Deerfield,MA,01342,617-342-0783,1,1991-06-26,87.62917179626274,tenacious,LITTER PUBLIC PLACES
126,Ayumi,Dudson,7323 Locust Ct.,Greenfield,MA,01301,781-323-6612,1,1967-05-04,92.0667173822354,possessive,INTIM WIT VICT WITHHOLD INFORMATION
127,Jerrie,Garrod,1753 Locust Lane,O Neals,CA,93645,707-668-9195,1,1995-01-26,81.20192921060071,trustful,EXCEED 55 MPH IN OTHER LOC BY 82 MPH
128,Nakeshia,Goodger,739 Walnut St,Groveport,OH,43195,740-168-9186,1,1970-06-13,54.54941167785212,shaken,CONSUMPTION POSSESSION OF OPEN CONTAINERS
129,Eliseo,Sweeny,4744 Cedar Ln,Carmen,OK,73726,918-504-2274,0,1963-06-12,34.83425748971651,didactic,POSS LIQUEFIED AMMONIA IN UNAPPROVED CONTAINER
130,Ivanna,Loader,973 Cypress Ln.,Madison,MS,39130,662-909-4636,1,1958-12-25,14.971756396451706,quizzical,FAIL TO YIELD TO WORK VEH
131,Aniya,Grouse,2490 Willow Ln.,Albuquerque,NM,87109,575-217-0771,1,1983-02-25,38.0259651199042,angry,ACC INVOLVING DEATH INJURY NOT PROPERLY LICENSED
132,Kahlil,Ceschi,6807 Magnolia Ave.,Melcroft,PA,15462,724-959-2096,0,1965-03-09,22.389117761642133,accepted,AMPLIFIED NOISE FROM VEHICLE OR HANDHELD DEVICE
133,Kreig,Giorio,6397 Peach Rd.,Saint Johns,OH,45884,440-772-1790,0,1966-02-24,39.83965915607858,spunky,EXCEED 55 MPH IN OTHER LOC BY 45 MPH
134,Maleik,Moyse,9488 Redwood Blvd.,Benwood,WV,26031,304-118-9063,0,1983-01-05,12.684974132110405,robbed,EXCEED MAX SPEED LIM ESTB BY 50 MPH
135,Jun,Barthorpe,8334 Maple Boulevard,Tallahassee,FL,32301,352-936-3400,0,1962-07-21,29.998895829213843,unaccepted,LITTERING WHILE HUNTING FURTAKING
136,Graceanne,Ramelet,7259 Dogwood Way,Fort Lauderdale,FL,33317,386-172-8999,1,1951-07-10,76.46121964452016,apologetic,PUBLIC PRIVATE MUTILATING ETC FLAG
137,Smantha,Heustice,818 Olive Rd.,Clemson,SC,29634,854-566-6835,1,1974-04-23,38.732329006193254,didactic,GAMBLING ALLOW ON PREMISES
138,Jess,Bader,8680 Oak St.,Birmingham,AL,35235,334-882-3665,0,1976-08-30,55.87379726269024,handicapped,VIOL RULES REG PROT HEALTH SAFETY
139,Sonali,Marcroft,6129 Sumac Rd,Ville Platte,LA,70586,337-241-2966,1,1969-03-27,93.65478673302995,enlightened,KIDNAPPING OF MINOR FACILITATE FELONY FLIGHT
140,Myriah,Grinnell,4574 Poplar Rd.,Ector,TX,75439,409-433-2713,1,1995-01-15,81.04188020989865,solemn,FORMER CONVICT NOT TO OWN ETC FIREARM
141,Kameron,Mullany,5606 Locust St,Causey,NM,88113,575-832-7401,0,1965-01-01,32.564531648350005,irked,DOGS OUTSIDE DWELLING ENCLOSURE NOT PHYSICAL RESTRAINT
142,Feiga,Haborn,5103 Chestnut Blvd.,Fort Rucker,AL,36362,251-611-9869,1,1995-12-10,49.48573023844869,indifferent,SOUND AMPLIFICATION
143,Sheronica,Voff,6716 Pine Blvd,Camby,IN,46113,317-200-9747,1,1993-03-12,21.81377049905238,overwhelmed,INVOL DEIVATE SEXUAL INTERCOURSE SERIOUS BODILY INJ
144,Rush,Hickinbottom,445 Elm Street,Billings,OK,74630,918-100-7836,0,1952-03-20,96.52760024849762,unburdened,SALE OF FIREARMS CRIMINALLY LIABLE
145,Deveon,Moran,1501 Birch Circle,Upson,WI,54565,262-189-4170,0,1994-01-24,56.25580940005528,helpless,UNLAWFUL TO USE POSSESS CHEATING OR THIEVING DEVICE AT LICENSED FACILITY
146,Chrissy,Farr,5972 Hawthorn Ln.,Live Oak,FL,32060,786-938-2001,1,1966-02-02,78.69044963933054,vivacious,DISCHARGE OF AIR RIFLE
147,Kennesha,Cullrford,2826 Chestnut Blvd.,Charlotte,NC,28227,704-363-4316,1,1977-04-24,95.11810874985173,blamed,ADULT DR W BL ALC LEV 10 GREATER 4TH OFF
148,Aleksandar,Carss,9690 Olive Rd.,Powhatan,AR,72458,870-074-5546,0,1955-02-06,59.558815744685994,destroyed,SUBMIT CLAIM W FALSE INFO
149,Karly,Broke,8320 Crabapple St.,Lebam,WA,98554,206-692-6734,1,1969-08-15,47.54808476057675,impressed,WRK COMP FRAUD PROCEEDS DERIVED FROM VIOLATION
150,Sherica,Chateau,6439 Oak Blvd.,Largo,FL,33773,321-405-4533,1,1994-11-04,10.518123490037542,cowardly,STALKING INTENT TO CAUSE EMOTIONAL DISTRESS
151,Rubit,Bazell,P.O. Box 4027,Peterborough,NH,03458,603-510-9753,1,1977-05-29,64.2799018074594,sluggish,AGGRAVATED ROBBERY
152,Jayda,Vasichev,P.O. Box 807,Hinckley,NY,13352,845-223-8064,1,1952-12-15,79.55069847300837,squashed,PUBLIC CONSUMPTION OF ALCOHOL
153,Jarius,Ogilvie,9959 Tupelo Ln.,Barnesville,GA,30204,478-637-9072,0,1954-10-07,96.700346587225,agitated,PRUCHASES FROM MINORS
154,Lyndsey,Jolland,2383 Hawthorn Rd.,Sutter,IL,62373,779-179-6767,1,1988-08-28,56.262205168626444,unaccepted,THEFT OF SERVICES ACQUIS OF SERVICE
155,Shantasia,Tomek,5172 Hickory Court,Ojai,CA,93023,442-849-3099,1,1986-06-05,14.813451722500352,dull,EXCEED 65 MPH FOR ALL VEHICLES BY 31 MPH
156,Kadee,Poles,3968 Beech Ln.,Batchtown,IL,62006,618-212-0159,1,1986-08-04,57.22376403980873,inflated,EXCEED 65 MPH ON INTERSTATE BY 26 MPH
157,Dakeem,Mival,1014 Holly St,Lexington,IL,61753,312-176-7472,0,1954-11-03,45.010378647839154,dead,UNLAWFUL DISCHARGE OF PAINTBALL GUN OR PAINTBALL MARKER
